id,user_id,movie_id,created_at,createdAt,updatedAt,__v
fav-3cux8syi,admin-user,josee-khi-n-ng-th-y-u,2025-11-26 01:00:39.540,2025-11-26 01:00:39.547,2025-11-26 01:00:39.547,0
fav-ykl5teku,admin-user,avengers-ch-ultron,2025-11-26 01:00:45.819,2025-11-26 01:00:45.820,2025-11-26 01:00:45.820,0
fav-c0tcoo13,user-nelojo4i,tay-m-th-p,2025-11-26 01:54:16.432,2025-11-26 01:54:16.433,2025-11-26 01:54:16.433,0
fav-yere75h9,user-e2vyx3ge,th-m-t-l-ng-danh-conan-movie-26-t-u-ng-m-s-t-m-u-en,2025-11-26 02:02:47.326,2025-11-26 02:02:47.327,2025-11-26 02:02:47.327,0
fav-df0f5w9l,user-e2vyx3ge,c-m-y-nghi-n,2025-11-26 02:03:39.085,2025-11-26 02:03:39.085,2025-11-26 02:03:39.085,0
fav-sd6txhqw,user-e2vyx3ge,th-tr-n-baramulla,2025-11-26 02:03:50.934,2025-11-26 02:03:50.934,2025-11-26 02:03:50.934,0
fav-1qhm2uho,user-e2vyx3ge,tay-m-th-p,2025-11-26 02:04:14.445,2025-11-26 02:04:14.445,2025-11-26 02:04:14.445,0
fav-pykoz4yw,user-e2vyx3ge,chi-n-binh-b-o-en,2025-11-26 03:18:49.568,2025-11-26 03:18:49.568,2025-11-26 03:18:49.568,0
fav-lwp82wsl,user-nelojo4i,b-c-ng-c-ng,2025-11-26 03:27:11.061,2025-11-26 03:27:11.061,2025-11-26 03:27:11.061,0
fav-7npwbp6v,admin-user,c-m-y-nghi-n,2025-11-26 03:44:48.506,2025-11-26 03:44:48.506,2025-11-26 03:44:48.506,0
fav-gfz02mf3,admin-user,ng-h-m-t-i-m-a-h-l-i-tho-t-c-a-bi-t-ly,2025-11-26 03:49:02.337,2025-11-26 03:49:02.337,2025-11-26 03:49:02.337,0
fav-zyq1ebdl,admin-user,th-tr-n-baramulla,2025-11-26 03:49:27.656,2025-11-26 03:49:27.657,2025-11-26 03:49:27.657,0
fav-tzo2u9z6,admin-user,cu-c-phi-u-l-u-trong-gi-c-m-ng,2025-11-26 03:49:56.784,2025-11-26 03:49:56.784,2025-11-26 03:49:56.784,0
fav-ltraad5n,user-nelojo4i,cu-c-phi-u-l-u-trong-gi-c-m-ng,2025-11-26 03:54:22.240,2025-11-26 03:54:22.240,2025-11-26 03:54:22.240,0
fav-qfid66hb,user-nelojo4i,frankenstein,2025-11-26 04:09:29.829,2025-11-26 04:09:29.829,2025-11-26 04:09:29.829,0
fav-8sxr3vkg,user-nelojo4i,x-men-logan,2025-11-26 04:09:43.045,2025-11-26 04:09:43.046,2025-11-26 04:09:43.046,0
fav-w83omelw,user-nelojo4i,avengers-ch-ultron,2025-11-26 04:10:18.709,2025-11-26 04:10:18.709,2025-11-26 04:10:18.709,0
